StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q18,Gender,Investing knowledge,Age,Education,Household income,Ethnicity,Stock_1,Q26,Q22,Gender,Investing knowledge,Age,Education,Household income,Ethnicity,Stock_1,Q25
2022-04-06 15:42:47,2022-04-06 15:44:37,IP Address,65.188.113.191,100,109,True,2022-04-06 15:44:37,R_0wcKVqGOPW3PbSF,,,,,35.41550000000000153477230924181640148162841796875,-80.6143000000000000682121026329696178436279296875,anonymous,EN,,,,,,,,,,5e83a35304f8a80a13ac590e,Female,5-10 years,20-59,High School,$50-$100k,White,15,
2022-04-06 15:40:12,2022-04-06 15:44:37,IP Address,66.229.20.164,100,265,True,2022-04-06 15:44:37,R_2OYz4zxhZghSTzE,,,,,25.984300000000001062971932697109878063201904296875,-80.21490000000000009094947017729282379150390625,anonymous,EN,,,,,,,,,,5d9264f527fdac00158fd876,Female,5-10 years,20-59,High School,$50-$100k,White,94,
2022-04-06 15:43:59,2022-04-06 15:44:58,IP Address,76.206.207.22,100,59,True,2022-04-06 15:44:59,R_XuYhxvHC7ftbZ0R,,,,,33.19859999999999899955582804977893829345703125,-117.2460999999999984311216394416987895965576171875,anonymous,EN,,,,,,,,,,5dd2f7403c4937312433cc11,Male,1-5 years,20-59,Undergraduate,<$25k,White,60,
2022-04-06 15:42:48,2022-04-06 15:45:08,IP Address,73.171.199.234,100,139,True,2022-04-06 15:45:08,R_2Bkuc1TjUYnkiGV,,,,,29.66689999999999827196006663143634796142578125,-81.6578999999999979308995534665882587432861328125,anonymous,EN,60466ff6b440ae04b0533cd7,Female,1-5 years,20-59,High School,$25-$50k,White,68,,,,,,,,,,
2022-04-06 15:44:42,2022-04-06 15:45:14,IP Address,144.62.154.107,100,31,True,2022-04-06 15:45:14,R_31jCnvTdEiIPnQp,,,,,40.68769999999999953388396534137427806854248046875,-73.9266999999999967485564411617815494537353515625,anonymous,EN,,,,,,,,,,60fef79f1bc3c4eb4af14783,Female,0-1 year,20-59,Undergraduate,$50-$100k,White,44,
2022-04-06 15:44:36,2022-04-06 15:45:22,IP Address,24.61.246.85,100,45,True,2022-04-06 15:45:22,R_RmfXZsSWDi5UQzD,,,,,42.3736999999999994770405464805662631988525390625,-71.12839999999999918145476840436458587646484375,anonymous,EN,58d876b14240e50001190090,Male,10+ years,20-59,Postgraduate,$150k+,White,80,,,,,,,,,,
2022-04-06 15:44:45,2022-04-06 15:45:30,IP Address,24.228.99.42,100,44,True,2022-04-06 15:45:30,R_1rNrN69TCQ9pbxk,,,,,41.11500000000000198951966012828052043914794921875,-74.587500000000005684341886080801486968994140625,anonymous,EN,,,,,,,,,,60e4a68fea6bb239a06fc072,Female,5-10 years,20-59,Postgraduate,$50-$100k,White,11,
2022-04-06 15:44:35,2022-04-06 15:45:33,IP Address,172.58.207.12,100,58,True,2022-04-06 15:45:34,R_22KXvNay8Y9V2SO,,,,,39.9596999999999979991116560995578765869140625,-75.19950000000000045474735088646411895751953125,anonymous,EN,5badcd276322c5000157c196,Female,1-5 years,20-59,Undergraduate,$50-$100k,White,56,,,,,,,,,,
2022-04-06 15:44:47,2022-04-06 15:45:36,IP Address,24.218.81.228,100,48,True,2022-04-06 15:45:36,R_1HeiymRZU5kir6u,,,,,42.36489999999999866986399865709245204925537109375,-71.0986999999999937926986603997647762298583984375,anonymous,EN,60fdab5fb16be1f8e0ace40e,Female,1-5 years,20-59,Undergraduate,$50-$100k,White,80,,,,,,,,,,
2022-04-06 15:45:05,2022-04-06 15:46:00,IP Address,75.118.45.160,100,54,True,2022-04-06 15:46:00,R_30wO6uF6S8Ufgqn,,,,,40.0818000000000012050804798491299152374267578125,-82.96649999999999636202119290828704833984375,anonymous,EN,,,,,,,,,,5c5deed04ee81200018ebb4a,Female,1-5 years,20-59,Undergraduate,$150k+,White,71,
2022-04-06 15:45:34,2022-04-06 15:46:20,IP Address,107.77.220.93,100,45,True,2022-04-06 15:46:20,R_3dFE2LanIDFtNv8,,,,,29.791199999999999903366187936626374721527099609375,-95.4181999999999987949195201508700847625732421875,anonymous,EN,,,,,,,,,,60b85becc8a6814025bc03f6,Male,10+ years,20-59,Postgraduate,$50-$100k,White,30,
2022-04-06 15:44:49,2022-04-06 15:46:31,IP Address,107.122.105.20,100,102,True,2022-04-06 15:46:31,R_ALJ7c7TfKjESaAN,,,,,26.58239999999999980673237587325274944305419921875,-81.8319999999999936335370875895023345947265625,anonymous,EN,5ef3fb8de991b819644d21b2,Male,1-5 years,20-59,Undergraduate,$50-$100k,Hispanic,53,,,,,,,,,,
2022-04-06 15:45:50,2022-04-06 15:46:35,IP Address,174.131.53.228,100,45,True,2022-04-06 15:46:36,R_brMc25ywTC3OL4J,,,,,40.0731999999999999317878973670303821563720703125,-82.4017000000000052750692702829837799072265625,anonymous,EN,5f53fbbab9922d75c72061d8,Male,0-1 year,20-59,High School,<$25k,White,70,,,,,,,,,,
2022-04-06 15:45:52,2022-04-06 15:46:45,IP Address,67.9.141.9,100,52,True,2022-04-06 15:46:45,R_2Cq9E87fg1zzYWP,,,,,27.746500000000001051603248924948275089263916015625,-82.75020000000000663931132294237613677978515625,anonymous,EN,,,,,,,,,,5f9f0e68b9f7035144cef331,Male,10+ years,20-59,Undergraduate,$50-$100k,White,66,
2022-04-06 15:45:32,2022-04-06 15:47:05,IP Address,100.4.82.11,100,93,True,2022-04-06 15:47:05,R_1poOziGtrCWOAR3,,,,,36.79690000000000082991391536779701709747314453125,-76.179699999999996862243278883397579193115234375,anonymous,EN,,,,,,,,,,5c38f43bb594c40001212d39,Male,10+ years,60+,Postgraduate,$150k+,White,20,
2022-04-06 15:46:28,2022-04-06 15:47:16,IP Address,169.229.223.218,100,47,True,2022-04-06 15:47:16,R_0DO3XVkTvwIyQUN,,,,,37.84870000000000089812601800076663494110107421875,-122.220900000000000318323145620524883270263671875,anonymous,EN,616a2fa110c3f891af20416e,Female,1-5 years,20-59,Undergraduate,$50-$100k,Asian,40,,,,,,,,,,
2022-04-06 15:45:38,2022-04-06 15:47:20,IP Address,98.37.130.31,100,102,True,2022-04-06 15:47:20,R_2U95Pw0SqK1hKrB,,,,,37.402500000000003410605131648480892181396484375,-121.8659999999999996589394868351519107818603515625,anonymous,EN,58f31c5f575c01000180b524,Male,1-5 years,20-59,Undergraduate,$50-$100k,Asian,81,,,,,,,,,,
2022-04-06 15:46:24,2022-04-06 15:47:41,IP Address,68.196.121.123,100,77,True,2022-04-06 15:47:42,R_Qh2YUXKs2EjaDHr,,,,,40.59779999999999944293449516408145427703857421875,-74.000100000000003319655661471188068389892578125,anonymous,EN,,,,,,,,,,61036cacb1b7873d3f30f493,Female,1-5 years,20-59,Undergraduate,$25-$50k,Asian,17,
2022-04-06 15:47:03,2022-04-06 15:47:47,IP Address,24.12.156.120,100,44,True,2022-04-06 15:47:47,R_24wV5Uc723ea0sX,,,,,42.1614000000000004320099833421409130096435546875,-87.9659999999999939745976007543504238128662109375,anonymous,EN,5f271cce0624f103b5a58645,Female,10+ years,20-59,Undergraduate,$25-$50k,White,18,,,,,,,,,,
2022-04-06 15:46:42,2022-04-06 15:49:11,IP Address,72.47.70.82,100,148,True,2022-04-06 15:49:11,R_2bCkqqNOZIWKwW5,,,,,33.1794000000000011141310096718370914459228515625,-96.953800000000001091393642127513885498046875,anonymous,EN,,,,,,,,,,5ca999aacf827100165119f4,Male,1-5 years,20-59,Undergraduate,$25-$50k,White,35,
2022-04-06 15:48:11,2022-04-06 15:49:20,IP Address,209.203.201.253,100,69,True,2022-04-06 15:49:21,R_3EHjb30r70adxxg,,,,,40.5221999999999979991116560995578765869140625,-78.403400000000004865796654485166072845458984375,anonymous,EN,,,,,,,,,,614f7f23fc5a8f932e992ec3,Male,0-1 year,20-59,High School,$50-$100k,White,40,
2022-04-06 15:48:58,2022-04-06 15:49:41,IP Address,50.158.210.46,100,43,True,2022-04-06 15:49:41,R_2D08l22xcVJtZCd,,,,,37.75099999999999766941982670687139034271240234375,-97.8220000000000027284841053187847137451171875,anonymous,EN,,,,,,,,,,5cfb6018bdfd56001820466f,Male,1-5 years,20-59,Associate,<$25k,White,20,
2022-04-06 15:48:39,2022-04-06 15:49:43,IP Address,184.153.97.147,100,63,True,2022-04-06 15:49:43,R_wRbELaeuJ1rDcA1,,,,,40.746499999999997498889570124447345733642578125,-73.9090000000000060254023992456495761871337890625,anonymous,EN,5e9a68c4474f360fd61a5b48,Male,1-5 years,20-59,High School,$25-$50k,White,61,,,,,,,,,,
2022-04-06 15:39:59,2022-04-06 15:49:51,IP Address,47.5.227.207,100,592,True,2022-04-06 15:49:52,R_ptMENDILz0HekQp,,,,,44.92410000000000280806489172391593456268310546875,-123.3247999999999962028596200980246067047119140625,anonymous,EN,,,,,,,,,,614fa6b5e77bfdc7af68ddf1,Male,0-1 year,60+,Undergraduate,$50-$100k,White,71,
2022-04-06 15:49:04,2022-04-06 15:49:55,IP Address,107.77.230.6,100,51,True,2022-04-06 15:49:55,R_1C7rDrfrBuHQW1m,,,,,34.0544000000000011141310096718370914459228515625,-118.243999999999999772626324556767940521240234375,anonymous,EN,5e5f09c5e58b6a24d4783e78,Male,1-5 years,20-59,Undergraduate,$150k+,White,30,,,,,,,,,,
2022-04-06 15:49:15,2022-04-06 15:49:57,IP Address,69.140.19.19,100,42,True,2022-04-06 15:49:57,R_1d3SwfoTrVGDeVW,,,,,39.264499999999998181010596454143524169921875,-76.622399999999998954081092961132526397705078125,anonymous,EN,,,,,,,,,,5f45dd2eaab81c216427d57c,Male,5-10 years,20-59,Undergraduate,$100-$150k,White,66,
2022-04-06 15:48:26,2022-04-06 15:49:58,IP Address,172.58.19.69,100,92,True,2022-04-06 15:49:59,R_1CEMZAoDokAj9BT,,,,,33.7873000000000018872015061788260936737060546875,-117.923100000000005138645065017044544219970703125,anonymous,EN,,,,,,,,,,5fbe98e0e2bc9703bfd640d7,Female,0-1 year,20-59,Undergraduate,<$25k,White,7,
2022-04-06 15:49:07,2022-04-06 15:50:01,IP Address,98.226.2.245,100,53,True,2022-04-06 15:50:01,R_8q27epfiRZSMFCF,,,,,41.7017000000000024328983272425830364227294921875,-86.291300000000006775735528208315372467041015625,anonymous,EN,5f42eec40c24ac531d4ca24a,Male,1-5 years,20-59,High School,<$25k,White,75,,,,,,,,,,
2022-04-06 15:48:57,2022-04-06 15:50:10,IP Address,63.155.22.77,100,72,True,2022-04-06 15:50:10,R_31auwPqfo735MSq,,,,,44.05630000000000023874235921539366245269775390625,-122.9163999999999958845364744774997234344482421875,anonymous,EN,,,,,,,,,,5dd348356d522535afddc44e,Female,0-1 year,20-59,Undergraduate,$25-$50k,White,80,
2022-04-06 15:50:10,2022-04-06 15:50:43,IP Address,173.62.251.151,100,33,True,2022-04-06 15:50:43,R_3HIzrNcQWjXDmox,,,,,39.93610000000000326281224261038005352020263671875,-75.2625000000000028421709430404007434844970703125,anonymous,EN,5f73f37ed13ce303cc14ae35,Male,1-5 years,20-59,Undergraduate,$50-$100k,Asian,53,,,,,,,,,,
2022-04-06 15:47:08,2022-04-06 15:51:18,IP Address,23.118.110.87,100,249,True,2022-04-06 15:51:18,R_9G2lBgOEzHemzux,,,,,37.782499999999998863131622783839702606201171875,-122.43500000000000227373675443232059478759765625,anonymous,EN,600b4cdb45d6e41cbaa79e33,Female,1-5 years,20-59,Undergraduate,$100-$150k,Asian,70,,,,,,,,,,
2022-04-06 15:50:42,2022-04-06 15:51:18,IP Address,104.145.84.40,100,36,True,2022-04-06 15:51:19,R_1BOTSBnfZ8yhtVS,,,,,41.424700000000001409716787748038768768310546875,-105.4780999999999977490006131120026111602783203125,anonymous,EN,,,,,,,,,,60838b319c8df481f1074157,Female,0-1 year,< 20,High School,$100-$150k,White,65,
2022-04-06 15:50:46,2022-04-06 15:51:29,IP Address,100.37.199.124,100,42,True,2022-04-06 15:51:29,R_DnGQejjcJmGSawF,,,,,40.699399999999997135091689415276050567626953125,-73.8883000000000009777068044058978557586669921875,anonymous,EN,,,,,,,,,,5d8765008616d4001a232c58,Female,1-5 years,20-59,Postgraduate,$150k+,White,15,
2022-04-06 15:51:00,2022-04-06 15:51:30,IP Address,97.126.6.33,100,30,True,2022-04-06 15:51:30,R_2z7Q5XY5dDj4t69,,,,,47.5741000000000013869794202037155628204345703125,-122.3974999999999937472239253111183643341064453125,anonymous,EN,57a761c22fc0d400012c9656,Male,1-5 years,20-59,High School,$25-$50k,White,38,,,,,,,,,,
2022-04-06 15:51:23,2022-04-06 15:51:56,IP Address,108.36.229.9,100,33,True,2022-04-06 15:51:56,R_2q986Bld0OKNRaO,,,,,39.8299999999999982946974341757595539093017578125,-75.4154999999999944293449516408145427703857421875,anonymous,EN,60feea86c2cd1da8825671bc,Female,0-1 year,20-59,Undergraduate,$50-$100k,White,10,,,,,,,,,,
2022-04-06 15:50:49,2022-04-06 15:52:04,IP Address,73.234.243.35,100,74,True,2022-04-06 15:52:04,R_1E4NbRRfYRRBZhh,,,,,42.12930000000000063664629124104976654052734375,-72.7522000000000019781509763561189174652099609375,anonymous,EN,,,,,,,,,,5dc091fa9be08f03fb01a816,Male,1-5 years,20-59,High School,$50-$100k,Hispanic,75,
2022-04-06 15:50:39,2022-04-06 15:52:20,IP Address,108.190.178.28,100,100,True,2022-04-06 15:52:20,R_3j2ItpNQjs27leh,,,,,28.113099999999999312194631784223020076751708984375,-81.6240999999999985448084771633148193359375,anonymous,EN,5e519c1b7243ea1d0aa361d6,Female,0-1 year,20-59,High School,<$25k,White,65,,,,,,,,,,
2022-04-06 15:52:18,2022-04-06 15:53:00,IP Address,172.58.35.53,100,41,True,2022-04-06 15:53:00,R_1JQmZ7neURiD8TD,,,,,37.33129999999999881765688769519329071044921875,-121.8401000000000067302607931196689605712890625,anonymous,EN,,,,,,,,,,5f356e8b725d18529807d33c,Female,1-5 years,20-59,High School,$25-$50k,White,44,
2022-04-06 15:47:05,2022-04-06 15:53:02,IP Address,107.77.206.80,100,357,True,2022-04-06 15:53:03,R_AzfhnkVKQHGSuD7,,,,,41.87639999999999673718775738961994647979736328125,-87.6132999999999952933649183250963687896728515625,anonymous,EN,5ad6b454a9ea0500019a087a,Male,10+ years,20-59,High School,$150k+,White,83,,,,,,,,,,
2022-04-06 15:51:48,2022-04-06 15:53:11,IP Address,70.183.94.130,100,83,True,2022-04-06 15:53:11,R_3MoOqfkYDscQf4a,,,,,33.05619999999999691908669774420559406280517578125,-117.26879999999999881765688769519329071044921875,anonymous,EN,,,,,,,,,,55d5e2c9db6a810006fa078b,Female,1-5 years,20-59,Postgraduate,$150k+,Asian,40,
2022-04-06 15:51:25,2022-04-06 15:53:12,IP Address,72.251.170.83,100,106,True,2022-04-06 15:53:12,R_12ti7SvFyBNuKjv,,,,,38.56389999999999673718775738961994647979736328125,-121.44180000000000063664629124104976654052734375,anonymous,EN,5debce5335575a2bed69acc6,Male,10+ years,20-59,Undergraduate,$100-$150k,White,39,,,,,,,,,,
2022-04-06 15:52:34,2022-04-06 15:53:43,IP Address,65.191.101.131,100,69,True,2022-04-06 15:53:44,R_r20QnyDkKL9w09z,,,,,35.5837999999999965439201332628726959228515625,-80.864000000000004320099833421409130096435546875,anonymous,EN,5f90dcb9c3d6791d265e0b86,Male,1-5 years,20-59,High School,$100-$150k,White,85,,,,,,,,,,
2022-04-06 15:52:58,2022-04-06 15:53:49,IP Address,107.115.147.30,100,50,True,2022-04-06 15:53:49,R_1NkN6mn7ylJsYSW,,,,,32.91029999999999944293449516408145427703857421875,-96.7283000000000043883119360543787479400634765625,anonymous,EN,60de5358151483a5ce4b6a41,Male,5-10 years,20-59,Undergraduate,$50-$100k,White,71,,,,,,,,,,
2022-04-06 15:52:55,2022-04-06 15:54:09,IP Address,198.54.105.79,100,74,True,2022-04-06 15:54:10,R_2SpZCx3yhoUYDEE,,,,,41.89200000000000301270119962282478809356689453125,-87.6415999999999968395059113390743732452392578125,anonymous,EN,,,,,,,,,,610db393b77099464f765317,Male,10+ years,20-59,Postgraduate,$150k+,White,46,
2022-04-06 15:52:49,2022-04-06 15:54:10,IP Address,72.182.35.134,100,81,True,2022-04-06 15:54:11,R_1He3VSj6Jp79hzR,,,,,30.28869999999999862438926356844604015350341796875,-97.73980000000000245563569478690624237060546875,anonymous,EN,,,,,,,,,,5ee264fd75927e71d7a6bd5c,Male,10+ years,20-59,Postgraduate,$100-$150k,White,71,
2022-04-06 15:52:06,2022-04-06 15:54:24,IP Address,76.17.18.99,100,137,True,2022-04-06 15:54:25,R_3gSMOc7SRe7sbYR,,,,,33.71730000000000160298441187478601932525634765625,-84.4783000000000043883119360543787479400634765625,anonymous,EN,5ed7b5af65b9ae09f16de102,Male,5-10 years,20-59,Undergraduate,$50-$100k,Black,30,,,,,,,,,,
2022-04-06 15:53:28,2022-04-06 15:54:36,IP Address,24.193.242.17,100,68,True,2022-04-06 15:54:36,R_0xCytwvkyr70KKl,,,,,40.712299999999999045030563138425350189208984375,-73.7985000000000042064129956997931003570556640625,anonymous,EN,,,,,,,,,,6043f19a4d848542d0710e64,Female,5-10 years,60+,Postgraduate,$50-$100k,Hispanic,82,
2022-04-06 15:53:42,2022-04-06 15:54:37,IP Address,136.226.56.252,100,54,True,2022-04-06 15:54:37,R_2uyP3xeCy0x4s94,,,,,47.60340000000000060254023992456495761871337890625,-122.341399999999993042365531437098979949951171875,anonymous,EN,5f16520a9e2ee97d266d4241,Male,10+ years,20-59,Undergraduate,$50-$100k,Asian,69,,,,,,,,,,
2022-04-06 15:54:31,2022-04-06 15:54:52,IP Address,72.2.254.83,100,21,True,2022-04-06 15:54:53,R_2aEmeKubbEeQ6fy,,,,,37.6875,-85.8747000000000042518877307884395122528076171875,anonymous,EN,569ac88daf9ad70006640a66,Male,1-5 years,20-59,High School,<$25k,White,44,,,,,,,,,,
2022-04-06 15:53:49,2022-04-06 15:55:26,IP Address,98.229.75.129,100,97,True,2022-04-06 15:55:26,R_1dzvJfARuDjHXx7,,,,,42.376800000000002910383045673370361328125,-71.0610999999999961573848850093781948089599609375,anonymous,EN,5f31371991595a5ebca006cb,Female,10+ years,20-59,Undergraduate,$100-$150k,White,13,,,,,,,,,,
2022-04-06 15:54:50,2022-04-06 15:55:28,IP Address,24.119.56.130,100,37,True,2022-04-06 15:55:28,R_a5CKNmm2r1qt7xf,,,,,35.02649999999999863575794734060764312744140625,-110.6902000000000043655745685100555419921875,anonymous,EN,5ea3c3f4c8a6d41d78e8f96c,Female,0-1 year,20-59,High School,$25-$50k,White,65,,,,,,,,,,
2022-04-06 15:54:29,2022-04-06 15:55:33,IP Address,71.139.47.155,100,64,True,2022-04-06 15:55:33,R_1F4kjhdQc4TFthH,,,,,30.119299999999999073452272568829357624053955078125,-97.7395999999999958163243718445301055908203125,anonymous,EN,,,,,,,,,,61644f9207b1333d1caf3e5e,Female,5-10 years,20-59,Postgraduate,$150k+,White,80,
2022-04-06 15:49:14,2022-04-06 15:55:34,IP Address,73.232.36.101,100,380,True,2022-04-06 15:55:34,R_1jeWOygc2OuTqu6,,,,,29.877199999999998425437297555617988109588623046875,-95.6937999999999959754859446547925472259521484375,anonymous,EN,,,,,,,,,,5f3153a6180dcf0d8dd72a45,Male,0-1 year,20-59,Undergraduate,$50-$100k,Hispanic,70,
2022-04-06 15:55:15,2022-04-06 15:55:38,IP Address,45.26.8.108,100,23,True,2022-04-06 15:55:39,R_3fpFPyXpxIMTYzV,,,,,33.792000000000001591615728102624416351318359375,-84.2048999999999949750417727045714855194091796875,anonymous,EN,5d4199fe8580d30015230afd,Female,0-1 year,20-59,High School,$150k+,White,9,,,,,,,,,,
2022-04-06 15:55:10,2022-04-06 15:56:03,IP Address,24.22.186.149,100,52,True,2022-04-06 15:56:03,R_2wtVZmwVp1kr2FZ,,,,,47.6109000000000008867573342286050319671630859375,-122.330299999999994042809703387320041656494140625,anonymous,EN,,,,,,,,,,60190457f681522087abda5e,Non-binary,1-5 years,20-59,Undergraduate,$25-$50k,Asian,25,
2022-04-06 15:55:48,2022-04-06 15:56:28,IP Address,50.26.132.21,100,40,True,2022-04-06 15:56:28,R_3PjyBDs8e39EP4E,,,,,35.22939999999999827196006663143634796142578125,-101.810599999999993769961292855441570281982421875,anonymous,EN,6106cd8183e59d75ef06e431,Female,1-5 years,20-59,Postgraduate,$100-$150k,White,50,,,,,,,,,,
2022-04-06 15:56:15,2022-04-06 15:57:01,IP Address,98.187.103.170,100,46,True,2022-04-06 15:57:02,R_1od2b18d9Qmiaaj,,,,,36.3519000000000005456968210637569427490234375,-94.2197000000000031150193535722792148590087890625,anonymous,EN,,,,,,,,,,6113c68f6b89306b35fb512b,Male,5-10 years,20-59,Associate,$50-$100k,White,59,
2022-04-06 15:56:59,2022-04-06 15:57:47,IP Address,66.244.81.218,100,48,True,2022-04-06 15:57:48,R_yyeoDyE3lFpvZhT,,,,,39.2272999999999996134647517465054988861083984375,-86.4659999999999939745976007543504238128662109375,anonymous,EN,6102e443ab6f71fb6d6327c4,Female,0-1 year,20-59,Undergraduate,$150k+,Black,30,,,,,,,,,,
2022-04-06 15:32:07,2022-04-06 15:58:00,IP Address,70.176.217.54,100,1553,True,2022-04-06 15:58:00,R_3h3nEU3dtRb4e6O,,,,,33.627600000000001045918907038867473602294921875,-112.0511000000000052523319027386605739593505859375,anonymous,EN,5f172561f5899204f917ece1,Male,1-5 years,20-59,Undergraduate,$25-$50k,Asian,61,,,,,,,,,,
2022-04-06 15:55:13,2022-04-06 15:58:10,IP Address,97.106.126.130,100,177,True,2022-04-06 15:58:11,R_yDwtaTf2uqyg5vb,,,,,27.96000000000000085265128291212022304534912109375,-82.461399999999997589839040301740169525146484375,anonymous,EN,,,,,,,,,,56a3e69d582971000b7b0f4a,Male,5-10 years,20-59,Undergraduate,$50-$100k,White,20,
2022-04-06 15:54:11,2022-04-06 15:58:33,IP Address,172.58.45.231,100,262,True,2022-04-06 15:58:34,R_1cT9SeWB1kAOhUB,,,,,47.60340000000000060254023992456495761871337890625,-122.341399999999993042365531437098979949951171875,anonymous,EN,,,,,,,,,,5dd18dbe7af6611f4140d40b,Female,1-5 years,20-59,Associate,$50-$100k,Other,50,
2022-04-06 15:57:43,2022-04-06 15:58:43,IP Address,67.169.54.101,100,59,True,2022-04-06 15:58:43,R_1dLijaOJeJpL5TY,,,,,37.37729999999999819237928022630512714385986328125,-122.0194000000000045247361413203179836273193359375,anonymous,EN,,,,,,,,,,5c5c75d6329ee20001083061,Male,10+ years,20-59,Undergraduate,$100-$150k,Hispanic,77,
2022-04-06 15:57:24,2022-04-06 15:58:54,IP Address,172.58.171.203,100,90,True,2022-04-06 15:58:55,R_277HjM3ETj1U4zP,,,,,28.58149999999999835154085303656756877899169921875,-81.4849999999999994315658113919198513031005859375,anonymous,EN,,,,,,,,,,5f481a825080c619ea3709b0,Female,1-5 years,20-59,Associate,$25-$50k,Black,90,
2022-04-06 15:58:34,2022-04-06 15:59:21,IP Address,76.98.118.87,100,47,True,2022-04-06 15:59:21,R_3fy3LmeAqYemEW5,,,,,40.02550000000000096633812063373625278472900390625,-75.0533999999999963392838253639638423919677734375,anonymous,EN,5ee251b75a4f0e30bbc5a19f,Male,1-5 years,20-59,High School,$25-$50k,Asian,17,,,,,,,,,,
2022-04-06 15:59:22,2022-04-06 16:00:43,IP Address,173.228.104.192,100,80,True,2022-04-06 16:00:43,R_2YWL1ojBQ2Hub9b,,,,,37.76879999999999881765688769519329071044921875,-122.26200000000000045474735088646411895751953125,anonymous,EN,60e6a16e78554362aa29b908,Male,1-5 years,20-59,Undergraduate,$50-$100k,Asian,45,,,,,,,,,,
2022-04-06 15:57:45,2022-04-06 16:00:48,IP Address,174.212.35.148,100,183,True,2022-04-06 16:00:48,R_NVobaezwR1VvWEN,,,,,28.634399999999999408828443847596645355224609375,-81.6221000000000032059688237495720386505126953125,anonymous,EN,,,,,,,,,,5da253ba8de54100187fa925,Male,0-1 year,60+,Undergraduate,$50-$100k,Hispanic,52,
2022-04-06 15:59:44,2022-04-06 16:01:05,IP Address,71.167.231.121,100,80,True,2022-04-06 16:01:05,R_OoKRRjryZmOnXYB,,,,,40.68769999999999953388396534137427806854248046875,-73.9266999999999967485564411617815494537353515625,anonymous,EN,,,,,,,,,,6111ffdee6c02e2623913f71,Female,1-5 years,20-59,Undergraduate,$50-$100k,White,70,
2022-04-06 16:00:36,2022-04-06 16:01:06,IP Address,65.29.169.25,100,29,True,2022-04-06 16:01:06,R_3sb1bYDjVtKq5US,,,,,43.07419999999999760120772407390177249908447265625,-87.9149000000000029331204132176935672760009765625,anonymous,EN,,,,,,,,,,60ff143e987163faf9bf15d6,Male,1-5 years,20-59,Undergraduate,<$25k,White,50,
2022-04-06 15:59:57,2022-04-06 16:01:26,IP Address,97.93.100.116,100,89,True,2022-04-06 16:01:26,R_31gsx1YNWVsqBCf,,,,,34.16069999999999851070242584683001041412353515625,-118.2263999999999981582732289098203182220458984375,anonymous,EN,,,,,,,,,,6090a9a32b9a685c5cacbbb3,Non-binary,1-5 years,20-59,Undergraduate,$50-$100k,Other,5,
2022-04-06 15:59:54,2022-04-06 16:01:32,IP Address,174.49.110.228,100,98,True,2022-04-06 16:01:32,R_1Km4tSdCWtcumW6,,,,,34.20949999999999846522769075818359851837158203125,-84.7685000000000030695446184836328029632568359375,anonymous,EN,6165a8ee6dde7ff6f4b22e6f,Female,1-5 years,20-59,Undergraduate,$25-$50k,Black,15,,,,,,,,,,
2022-04-06 16:00:55,2022-04-06 16:01:36,IP Address,72.219.83.15,100,41,True,2022-04-06 16:01:37,R_3MQdN3TovjULvB7,,,,,33.61280000000000001136868377216160297393798828125,-117.6621999999999985675458447076380252838134765625,anonymous,EN,,,,,,,,,,5f30f00fa638c95749c79af9,Male,1-5 years,20-59,Undergraduate,$150k+,Other,9,
2022-04-06 15:59:52,2022-04-06 16:01:54,IP Address,147.219.187.60,100,122,True,2022-04-06 16:01:54,R_2Wx4HgDPUNqbXei,,,,,42.54090000000000060254023992456495761871337890625,-88.6058000000000021145751816220581531524658203125,anonymous,EN,59e91cebae9f950001d8466a,Female,1-5 years,20-59,High School,$50-$100k,White,40,,,,,,,,,,
2022-04-06 16:01:35,2022-04-06 16:03:26,IP Address,173.80.144.13,100,110,True,2022-04-06 16:03:26,R_2fBx3BF8ycw5Igl,,,,,38.41420000000000101181285572238266468048095703125,-81.7582000000000022055246517993509769439697265625,anonymous,EN,,,,,,,,,,61267fe88fba42b5f3b9c9ea,Female,10+ years,20-59,Postgraduate,$50-$100k,White,24,
2022-04-06 16:00:34,2022-04-06 16:03:31,IP Address,75.134.245.92,100,176,True,2022-04-06 16:03:32,R_1KdULIobTvPOm7W,,,,,42.17190000000000082991391536779701709747314453125,-72.4720999999999975216269376687705516815185546875,anonymous,EN,,,,,,,,,,5c2854db89f035000174b3d0,Male,5-10 years,20-59,Undergraduate,$100-$150k,Other,55,
2022-04-06 16:03:03,2022-04-06 16:03:36,IP Address,98.121.56.88,100,32,True,2022-04-06 16:03:36,R_3NxFcBcPrTcyiJu,,,,,35.94239999999999923829818726517260074615478515625,-78.6358000000000032514435588382184505462646484375,anonymous,EN,5a6d4c08e6cc4a0001b6c4f6,Female,0-1 year,20-59,Undergraduate,$100-$150k,White,39,,,,,,,,,,
2022-04-06 16:00:58,2022-04-06 16:03:50,IP Address,74.194.149.250,100,171,True,2022-04-06 16:03:50,R_3COh2dzxTccwimE,,,,,30.32169999999999987494447850622236728668212890625,-95.5284999999999939745976007543504238128662109375,anonymous,EN,5ce7b20479642d00197682ea,Female,10+ years,20-59,Postgraduate,$100-$150k,White,35,,,,,,,,,,
